abjecções;abjeções
abjecção;abjeção
abjecta;abjeta
abjectas;abjetas
abjecto;abjeto
abjectos;abjetos
abstraccionismo;abstracionismo
abstraccionismos;abstracionismos
abstraccionista;abstracionista
abstraccionistas;abstracionistas
abstracções;abstrações
abstracção;abstração
abstracta;abstrata
abstractamente;abstratamente
abstractas;abstratas
abstractismo;abstratismo
abstractismos;abstratismos
abstractivo;abstrativo
abstracto;abstrato
abstractos;abstratos
acciona;aciona
accionada;acionada
accionadas;acionadas
accionado;acionado
accionadora;acionadora
accionador;acionador
accionadoras;acionadoras
accionadores;acionadores
accionados;acionados
accionai;acionai
accionais;acionais
accional;acional
accionam;acionam
accionamento;acionamento
accionamentos;acionamentos
accionamos;acionamos
accionando;acionando
accionara;acionara
accionará;acionará
accionar;acionar
accionaram;acionaram
accionaríamos;acionaríamos
accionaras;acionaras
accionardes;acionardes
accionarei;acionarei
accionaríeis;acionaríeis
accionareis;acionareis
accionarem;acionarem
accionaremos;acionaremos
accionares;acionares
accionaria;acionaria
accionariam;acionariam
accionarias;acionarias
accionar-lha;acionar-lha
accionar-lhas;acionar-lhas
accionar-lhe;acionar-lhe
accionar-lhes;acionar-lhes
accionar-lho;acionar-lho
accionar-lhos;acionar-lhos
accionar-me;acionar-me
accionar-me-ei;acionar-me-ei
accionar-me-ia;acionar-me-ia
accionarmos;acionarmos
accionar-nos;acionar-nos
accionar-nos-íamos;acionar-nos-íamos
accionar-nos-emos;acionar-nos-emos
accionarão;acionarão
accionarás;acionarás
accionar-se-á;acionar-se-á
accionar-se;acionar-se
accionar-se-ia;acionar-se-ia
accionar-se-iam;acionar-se-iam
accionar-se-ão;acionar-se-ão
accionar-te-á;acionar-te-á
accionar-te;acionar-te
accionar-te-ei;acionar-te-ei
accionar-te-ias;acionar-te-ias
accionar-te-ás;acionar-te-ás
accionar-vos;acionar-vos
accionar-vos-íeis;acionar-vos-íeis
accionar-vos-eis;acionar-vos-eis
accionas;acionas
accionasse;acionasse
accionassem;acionassem
accionasses;acionasses
accionaste;acionaste
accionastes;acionastes
accionava;acionava
accionavam;acionavam
accionavas;acionavas
accione;acione
accionei;acionei
accioneis;acioneis
accionem;acionem
accionemos;acionemos
acciones;aciones
accionista;acionista
accionistas;acionistas
accioná-la;acioná-la
accioná-las;acioná-las
accioná-lo-á;acioná-lo-á
accioná-lo;acioná-lo
accioná-lo-íamos;acioná-lo-íamos
accioná-lo-ei;acioná-lo-ei
accioná-lo-íeis;acioná-lo-íeis
accioná-lo-eis;acioná-lo-eis
accioná-lo-emos;acioná-lo-emos
accioná-lo-ia;acioná-lo-ia
accioná-lo-iam;acioná-lo-iam
accioná-lo-ias;acioná-lo-ias
accioná-lo-ão;acioná-lo-ão
accioná-lo-ás;acioná-lo-ás
accioná-los;acioná-los
accionámos;acionámos
acciono;aciono
accionou;acionou
accionáramos;acionáramos
accionáreis;acionáreis
accionásseis;acionásseis
accionássemos;acionássemos
accionávamos;acionávamos
accionáveis;acionáveis
accionável;acionável
acepções;aceções
acepção;aceção
acções;ações
acção;ação
acta;ata
actas;atas
activa;ativa
activada;ativada
activadas;ativadas
activado;ativado
activadora;ativadora
activadoras;ativadoras
activador;ativador
activadores;ativadores
activados;ativados
activações;ativações
activai;ativai
activais;ativais
activam;ativam
activamente;ativamente
activamos;ativamos
activando;ativando
activante;ativante
activantes;ativantes
activação;ativação
activara;ativara
activaram;ativaram
activaríamos;ativaríamos
activaras;ativaras
activará;ativará
activar;ativar
activardes;ativardes
activarei;ativarei
activaríeis;ativaríeis
activareis;ativareis
activarem;ativarem
activaremos;ativaremos
activares;ativares
activaria;ativaria
activariam;ativariam
activarias;ativarias
activar-lha;ativar-lha
activar-lhas;ativar-lhas
activar-lhe;ativar-lhe
activar-lhes;ativar-lhes
activar-lho;ativar-lho
activar-lhos;ativar-lhos
activar-me;ativar-me
activar-me-ei;ativar-me-ei
activar-me-ia;ativar-me-ia
activarmos;ativarmos
activar-nos-íamos;ativar-nos-íamos
activar-nos;ativar-nos
activar-nos-emos;ativar-nos-emos
activarão;ativarão
activarás;ativarás
activar-se-á;ativar-se-á
activar-se;ativar-se
activar-se-ia;ativar-se-ia
activar-se-iam;ativar-se-iam
activar-se-ão;ativar-se-ão
activar-te-á;ativar-te-á
activar-te;ativar-te
activar-te-ei;ativar-te-ei
activar-te-ias;ativar-te-ias
activar-te-ás;ativar-te-ás
activar-vos;ativar-vos
activar-vos-íeis;ativar-vos-íeis
activar-vos-eis;ativar-vos-eis
activas;ativas
activasse;ativasse
activassem;ativassem
activasses;ativasses
activaste;ativaste
activastes;ativastes
activava;ativava
activavam;ativavam
activavas;ativavas
active;ative
activei;ativei
activeis;ativeis
activem;ativem
activemos;ativemos
actives;atives
actividade;atividade
actividades;atividades
activismo;ativismo
activismos;ativismos
activista;ativista
activistas;ativistas
activá-la;ativá-la
activá-las;ativá-las
activá-lo-íamos;ativá-lo-íamos
activá-lo-á;ativá-lo-á
activá-lo;ativá-lo
activá-lo-ei;ativá-lo-ei
activá-lo-íeis;ativá-lo-íeis
activá-lo-eis;ativá-lo-eis
activá-lo-emos;ativá-lo-emos
activá-lo-ia;ativá-lo-ia
activá-lo-iam;ativá-lo-iam
activá-lo-ias;ativá-lo-ias
activá-lo-ão;ativá-lo-ão
activá-lo-ás;ativá-lo-ás
activá-los;ativá-los
activámos;ativámos
activo;ativo
activos;ativos
activou;ativou
activáramos;ativáramos
activáreis;ativáreis
activásseis;ativásseis
activássemos;ativássemos
activávamos;ativávamos
activáveis;ativáveis
acto;ato
actor;ator
actores;atores
actos;atos
actriz;atriz
actrizes;atrizes
actua;atua
actuada;atuada
actuadas;atuadas
actuado;atuado
actuadora;atuadora
actuadoras;atuadoras
actuador;atuador
actuadores;atuadores
actuados;atuados
actuações;atuações
actuai;atuai
actuais;atuais
actual;atual
actualidade;atualidade
actualidades;atualidades
actualismo;atualismo
actualismos;atualismos
actualista;atualista
actualistas;atualistas
actualiza;atualiza
actualizada;atualizada
actualizadas;atualizadas
actualizado;atualizado
actualizadora;atualizadora
actualizadoras;atualizadoras
actualizador;atualizador
actualizadores;atualizadores
actualizados;atualizados
actualizadíssima;atualizadíssima
actualizadíssimas;atualizadíssimas
actualizadíssimo;atualizadíssimo
actualizadíssimos;atualizadíssimos
actualizações;atualizações
actualizai;atualizai
actualizais;atualizais
actualizam;atualizam
actualizamos;atualizamos
actualizando;atualizando
actualização;atualização
actualizara;atualizara
actualizaram;atualizaram
actualizaríamos;atualizaríamos
actualizaras;atualizaras
actualizará;atualizará
actualizar;atualizar
actualizardes;atualizardes
actualizarei;atualizarei
actualizaríeis;atualizaríeis
actualizareis;atualizareis
actualizarem;atualizarem
actualizaremos;atualizaremos
actualizares;atualizares
actualizaria;atualizaria
actualizariam;atualizariam
actualizarias;atualizarias
actualizar-lha;atualizar-lha
actualizar-lhas;atualizar-lhas
actualizar-lhe;atualizar-lhe
actualizar-lhes;atualizar-lhes
actualizar-lho;atualizar-lho
actualizar-lhos;atualizar-lhos
actualizar-me;atualizar-me
actualizar-me-ei;atualizar-me-ei
actualizar-me-ia;atualizar-me-ia
actualizarmos;atualizarmos
actualizar-nos-íamos;atualizar-nos-íamos
actualizar-nos;atualizar-nos
actualizar-nos-emos;atualizar-nos-emos
actualizarão;atualizarão
actualizarás;atualizarás
actualizar-se-á;atualizar-se-á
actualizar-se;atualizar-se
actualizar-se-ia;atualizar-se-ia
actualizar-se-iam;atualizar-se-iam
actualizar-se-ão;atualizar-se-ão
actualizar-te-á;atualizar-te-á
actualizar-te;atualizar-te
actualizar-te-ei;atualizar-te-ei
actualizar-te-ias;atualizar-te-ias
actualizar-te-ás;atualizar-te-ás
actualizar-vos;atualizar-vos
actualizar-vos-íeis;atualizar-vos-íeis
actualizar-vos-eis;atualizar-vos-eis
actualizas;atualizas
actualizasse;atualizasse
actualizassem;atualizassem
actualizasses;atualizasses
actualizaste;atualizaste
actualizastes;atualizastes
actualizava;atualizava
actualizavam;atualizavam
actualizavas;atualizavas
actualize;atualize
actualizei;atualizei
actualizeis;atualizeis
actualizem;atualizem
actualizemos;atualizemos
actualizes;atualizes
actualizá-la;atualizá-la
actualizá-las;atualizá-las
actualizá-lo-íamos;atualizá-lo-íamos
actualizá-lo-á;atualizá-lo-á
actualizá-lo;atualizá-lo
actualizá-lo-ei;atualizá-lo-ei
actualizá-lo-íeis;atualizá-lo-íeis
actualizá-lo-eis;atualizá-lo-eis
actualizá-lo-emos;atualizá-lo-emos
actualizá-lo-ia;atualizá-lo-ia
actualizá-lo-iam;atualizá-lo-iam
actualizá-lo-ias;atualizá-lo-ias
actualizá-lo-ão;atualizá-lo-ão
actualizá-lo-ás;atualizá-lo-ás
actualizá-los;atualizá-los
actualizámos;atualizámos
actualizo;atualizo
actualizou;atualizou
actualizáramos;atualizáramos
actualizáreis;atualizáreis
actualizásseis;atualizásseis
actualizássemos;atualizássemos
actualizávamos;atualizávamos
actualizáveis;atualizáveis
actualizável;atualizável
actualmente;atualmente
actuam;atuam
actuamos;atuamos
actuando;atuando
actuante;atuante
actuantes;atuantes
actuação;atuação
actuara;atuara
actuaram;atuaram
actuaríamos;atuaríamos
actuaras;atuaras
actuará;atuará
actuar;atuar
actuardes;atuardes
actuarei;atuarei
actuaríeis;atuaríeis
actuareis;atuareis
actuarem;atuarem
actuaremos;atuaremos
actuares;atuares
actuaria;atuaria
actuariam;atuariam
actuarias;atuarias
actuarmos;atuarmos
actuarão;atuarão
actuarás;atuarás
actuas;atuas
actuasse;atuasse
actuassem;atuassem
actuasses;atuasses
actuaste;atuaste
actuastes;atuastes
actuava;atuava
actuavam;atuavam
actuavas;atuavas
actue;atue
actuei;atuei
actueis;atueis
actuem;atuem
actuemos;atuemos
actues;atues
actuámos;atuámos
actuo;atuo
actuou;atuou
actuáramos;atuáramos
actuáreis;atuáreis
actuásseis;atuásseis
actuássemos;atuássemos
actuávamos;atuávamos
actuáveis;atuáveis
acupunctura;acupunctura
acupuncturas;acupunctura
adjectiva;adjetiva
adjectivada;adjetivada
adjectivadas;adjetivadas
adjectivado;adjetivado
adjectivados;adjetivados
adjectivações;adjetivações
adjectivai;adjetivai
adjectivais;adjetivais
adjectival;adjetival
adjectivam;adjetivam
adjectivamos;adjetivamos
adjectivando;adjetivando
adjectivação;adjetivação
adjectivara;adjetivara
adjectivará;adjetivará
adjectivar;adjetivar
adjectivaram;adjetivaram
adjectivaríamos;adjetivaríamos
adjectivaras;adjetivaras
adjectivardes;adjetivardes
adjectivarei;adjetivarei
adjectivaríeis;adjetivaríeis
adjectivareis;adjetivareis
adjectivarem;adjetivarem
adjectivaremos;adjetivaremos
adjectivares;adjetivares
adjectivaria;adjetivaria
adjectivariam;adjetivariam
adjectivarias;adjetivarias
adjectivar-lha;adjetivar-lha
adjectivar-lhas;adjetivar-lhas
adjectivar-lhe;adjetivar-lhe
adjectivar-lhes;adjetivar-lhes
adjectivar-lho;adjetivar-lho
adjectivar-lhos;adjetivar-lhos
adjectivar-me;adjetivar-me
adjectivar-me-ei;adjetivar-me-ei
adjectivar-me-ia;adjetivar-me-ia
adjectivarmos;adjetivarmos
adjectivar-nos;adjetivar-nos
adjectivar-nos-íamos;adjetivar-nos-íamos
adjectivar-nos-emos;adjetivar-nos-emos
adjectivarão;adjetivarão
adjectivarás;adjetivarás
adjectivar-se-á;adjetivar-se-á
adjectivar-se;adjetivar-se
adjectivar-se-ia;adjetivar-se-ia
adjectivar-se-iam;adjetivar-se-iam
adjectivar-se-ão;adjetivar-se-ão
adjectivar-te-á;adjetivar-te-á
adjectivar-te;adjetivar-te
adjectivar-te-ei;adjetivar-te-ei
adjectivar-te-ias;adjetivar-te-ias
adjectivar-te-ás;adjetivar-te-ás
adjectivar-vos;adjetivar-vos
adjectivar-vos-íeis;adjetivar-vos-íeis
adjectivar-vos-eis;adjetivar-vos-eis
adjectivas;adjetivas
adjectivasse;adjetivasse
adjectivassem;adjetivassem
adjectivasses;adjetivasses
adjectivaste;adjetivaste
adjectivastes;adjetivastes
adjectivava;adjetivava
adjectivavam;adjetivavam
adjectivavas;adjetivavas
adjective;adjetive
adjectivei;adjetivei
adjectiveis;adjetiveis
adjectivem;adjetivem
adjectivemos;adjetivemos
adjectives;adjetives
adjectividade;adjetividade
adjectividades;adjetividades
adjectivá-la;adjetivá-la
adjectivá-las;adjetivá-las
adjectivá-lo-á;adjetivá-lo-á
adjectivá-lo;adjetivá-lo
adjectivá-lo-íamos;adjetivá-lo-íamos
adjectivá-lo-ei;adjetivá-lo-ei
adjectivá-lo-íeis;adjetivá-lo-íeis
adjectivá-lo-eis;adjetivá-lo-eis
adjectivá-lo-emos;adjetivá-lo-emos
adjectivá-lo-ia;adjetivá-lo-ia
adjectivá-lo-iam;adjetivá-lo-iam
adjectivá-lo-ias;adjetivá-lo-ias
